Code,Description,Abbreviation,Grouping,Group_Colour
MG,Taxiing guidance system,tgs,Aerodromes,#1a66ff
MH,Runway arresting gear (specify runway),rag,Aerodromes,#1a66ff
MK,Parking area,prkg area,Aerodromes,#1a66ff
MM,"Daylight markings (specify threshold, centre line, etc.)",day markings,Aerodromes,#1a66ff
MN,Apron,apron,Aerodromes,#1a66ff
MO,Stopbar (specify taxiway),stopbar,Aerodromes,#1a66ff
MP,Aircraft stands (specify),acft stand,Aerodromes,#1a66ff
MR,Runway (specify runway),rwy,Aerodromes,#1a66ff
MS,Stopway (specify runway),swy,Aerodromes,#1a66ff
MT,Threshold (specify runway),thr,Aerodromes,#1a66ff
MU,Runway turning bay (specify runway),rwy turning bay,Aerodromes,#1a66ff
MW,Strip/shoulder (specify runway),strip/shoulder,Aerodromes,#1a66ff
MX,Taxiway(s) (specify),twy,Aerodromes,#1a66ff
MY,Rapid exit taxiway (specify),rapid exit twy,Aerodromes,#1a66ff
NA,All radio navigation facilities (except . . .),all rdo nav fac,Navigation Aids,#33cc33
NB,Non-directional radio beacon,ndb,Navigation Aids,#33cc33
NC,DECCA,decca,Navigation Aids,#33cc33
ND,Distance measuring equipment,dme,Navigation Aids,#33cc33
NF,Fan marker,fan mkr,Navigation Aids,#33cc33
NL,Locator (specify identification),loc,Navigation Aids,#33cc33
NM,VOR/DME,vor/dme,Navigation Aids,#33cc33
NN,TACAN,tacan,Navigation Aids,#33cc33
NO,OMEGA,omega,Navigation Aids,#33cc33
NT,VORTAC,vortac,Navigation Aids,#33cc33
NV,VOR,vor,Navigation Aids,#33cc33
NX,Direction-finding station (specify type and frequency),df,Navigation Aids,#33cc33
OA,Aeronautical information service,ais,Miscellaneous,#ffff4d
OB,Obstacle (specify details),obst,Hazards / Obstacles,#ff4000
OE,Aircraft entry requirements,acft entry rqmnts,Miscellaneous,#ff00ff
OL,Obstacle lights on . . . (specify),obst lgt,Hazards / Obstacles,#ff4000
OR,Rescue coordination centre,rcc,Miscellaneous,#ff00ff
PA,Standard instrument arrival (specify route designator),star,Aerodromes,#1a66ff
PB,Standard VFR arrival,std vfr arr,Aerodromes,#1a66ff
PC,Contingency procedures,contingency proc,Miscellaneous,#ff00ff
PD,Standard instrument departure (specify route designator),sid,Aerodromes,#1a66ff
PE,Standard VFR departure,std vfr dep,Aerodromes,#1a66ff
PF,Flow control procedure,flow ctl proc,Miscellaneous,#ff00ff
PH,Holding procedure,hldg proc,Aerodromes,#1a66ff
PI,Instrument approach procedure (specify type and runway),instr apch proc,Aerodromes,#1a66ff
PK,VFR approach procedure,vfr apch proc,Aerodromes,#1a66ff
PL,"Flight plan processing, filing and related contingency",fpl,Miscellaneous,#ff00ff
PM,Aerodrome operating minima (specify procedure and amended minimum),opr minima,Aerodromes,#1a66ff
PN,Noise operating restrictions,noise opr restrictions,Aerodromes,#1a66ff
PO,Obstacle clearance altitude and height (specify procedure),oca och,Aerodromes,#1a66ff
PR,Radio failure procedure,rdo failure proc,Aerodromes,#1a66ff
PT,Transition altitude or transition level (specify),ta/trl,Airspace / ATC,#33cc33
PU,Missed approach procedure (specify runway),missed apch proc,Aerodromes,#1a66ff
PX,Minimum holding altitude (specify fix),mnm hldg alt,Airspace / ATC,#33cc33
PZ,ADIZ procedure,adiz proc,Airspace / ATC,#33cc33
RA,Airspace reservation (specify),airspace reservation,Airspace / ATC,#33cc33
RD,Danger area (specify). .,d . .,Airspace / ATC,#33cc33
RM,Military operating area,moa,Airspace / ATC,#33cc33
RO,Overflying of . . . (specify),overflying,Airspace / ATC,#33cc33
RP,Prohibited area (specify ). .,p . .,Airspace / ATC,#33cc33
RR,Restricted area . .,r . .,Airspace / ATC,#33cc33
RT,Temporary restricted area (specify area),tempo restricted area,Airspace / ATC,#33cc33
SA,Automatic terminal information,serviceatis,Aerodromes,#1a66ff
SB,ATS reporting,officearo,Aerodromes,#1a66ff
SC,Area control,centreacc,Aerodromes,#1a66ff
SE,Flight information,servicefis,Airspace / ATC,#33cc33
SF,Aerodrome flight information,serviceafis,Aerodromes,#1a66ff
SL,Flow control centreflow,ctl centre,Miscellaneous,#ff00ff
SO,Oceanic area control,centreoac,Airspace / ATC,#33cc33
SP,Approach control,serviceapp,Airspace / ATC,#33cc33
SS,Flight service,stationfss,Airspace / ATC,#33cc33
ST,Aerodrome control,towertwr,Airspace / ATC,#33cc33
SU,Upper area control,centreuac,Airspace / ATC,#33cc33
SV,VOLMET broadcast,volmet,Airspace / ATC,#33cc33
SY,Upper advisory service (specify),upper advisory ser,Airspace / ATC,#33cc33
WA,Air display,air display,Aircraft Activity,#ff8000
WB,Aerobatics,aerobatics,Aircraft Activity,#ff8000
WC,Captive balloon or kite,captive balloon/kite,Aircraft Activity,#ff8000
WD,Demolition of explosives,demolition of explosives,Hazards / Obstacles,#ff0000
WE,Exercises (specify),exer,Aircraft Activity,#ff8000
WF,Air refuelling,air refuelling,Aircraft Activity,#ff8000
WG,Glider flying,gld fly,Aircraft Activity,#ff8000
WH,Blasting,blasting,Hazards / Obstacles,#ff0000
WJ,Banner/target towing,banner/target towing,Aircraft Activity,#ff8000
WL,Ascent of free balloon,ascent of free balloon,Aircraft Activity,#ff8000
WM,"Missile, gun or rocket firing",missile/gun/rocket/frng,Hazards / Obstacles,#ff0000
